Filename,X_fs [m],Y_fs [m],Z_fs [m],Avg_c_star [-],Avg_net_concentration [ppmV],Avg_full_scale_concentration [ppmV],Percentiles 95_cstar,Percentiles 5_cstar,Peak2MeanRatio_cstar
_stats_output130_UBA_GA_02_04_01_000_1_001.txt.txt,100.0,0.0,10.0,0.0014,14.1165,14.1165,0.0037,0.0002,14.1165
_stats_output130_UBA_GA_02_04_01_000_1_001.txt.txt,100.0,0.0,10.0,0.0014,14.1165,14.1165,0.0037,0.0002,14.1165
_stats_output130_UBA_GA_02_04_01_000_1_001.txt.txt,100.0,0.0,10.0,0.0014,14.1165,14.1165,0.0037,0.0002,14.1165
_stats_output130_UBA_GA_02_04_01_000_1_001.txt.txt,100.0,0.0,10.0,0.0014,14.1165,14.1165,0.0037,0.0002,14.1165
_stats_output130_UBA_GA_02_04_01_000_1_001.txt.txt,100.0,0.0,10.0,0.0014,14.1165,14.1165,0.0037,0.0002,14.1165
_stats_output130_UBA_GA_02_04_01_000_1_001.txt.txt,100.0,0.0,10.0,0.0014,14.1165,14.1165,0.0037,0.0002,14.1165
