Filename,X_fs [m],Y_fs [m],Z_fs [m],Avg_c_star [-],Avg_net_concentration [ppmV],Avg_full_scale_concentration [ppmV],Percentiles 95_cstar,Percentiles 5_cstar,Peak2MeanRatio_cstar
_stats_output120_BFS_BD3_MP01_000_02.txt,"{'value': 855.6, 'unit': '[mm]'}","{'value': 176.7, 'unit': '[mm]'}","{'value': 162.3, 'unit': '[mm]'}",0.0002,17.2195,17.2195,0.001,-0.0,17.2195
_stats_output120_BFS_BD3_MP01_000_01.txt,"{'value': 855.16, 'unit': '[mm]'}","{'value': 176.29, 'unit': '[mm]'}","{'value': 162.0, 'unit': '[mm]'}",0.0,16.7243,16.7243,0.0002,0.0,16.7243
