Filename,X_fs [m],Y_fs [m],Z_fs [m],Avg_c_star [-],Avg_net_concentration [ppmV],Avg_full_scale_concentration [ppmV],Percentiles 95_cstar,Percentiles 5_cstar,Peak2MeanRatio_cstar
_stats_output5454_UBA_GA_02_04_01_000_1_001.txt.ts#5,100.0,0.0,10.0,0.0014,14.1165,14.1165,0.0037,0.0002,14.1165
_stats_output5454_UBA_GA_02_04_01_000_1_001.txt.ts#2,62.5,0.0,10.0,0.0017,15.2856,15.2856,0.0052,0.0001,15.2856
_stats_output5454_UBA_GA_02_04_01_000_1_001.txt.ts#3,75.0,0.0,10.0,0.0016,17.1801,17.1801,0.0048,0.0001,17.1801
_stats_output5454_UBA_GA_02_04_01_000_1_001.txt.ts#1,50.0,0.0,10.0,0.0019,13.5067,13.5067,0.0057,0.0002,13.5067
_stats_output5454_UBA_GA_02_04_01_000_1_001.txt.ts#4,87.5,0.0,10.0,0.0014,16.6038,16.6038,0.0042,0.0001,16.6038
_stats_output5454_UBA_GA_02_04_01_000_1_001.txt.ts#0,37.5,0.0,10.0,0.0019,20.796,20.796,0.0053,0.0003,20.796
